"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-05-31",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-09",,,,,
